"ano";"mes";"nome_mes";"temp_max_media_mensal";"temp_media_mensal";"temp_min_media_mensal";"umidade_media_mensal";"umidade_min_media_mensal";"temp_max_abs_mensal";"temp_min_abs_mensal"
2015;1;Janeiro;31.371123829344448;25.72791327913277;22.47165886635467;79.88918635170607;55.646569646569645;37.4;17.1
2015;2;Fevereiro;30.982606060606052;25.619309462915613;22.587122128174112;81.45405735204399;58.510109763142694;37.3;15.4
2015;3;Março;30.820872971460552;25.518697729988038;22.734826427771548;83.73269121813046;61.03038379530917;36.4;17.7
2015;4;Abril;31.2910950661853;25.826038437693725;22.845122681029334;83.32715674362099;59.73106283029947;37.2;17.6
2015;5;Maio;31.349578888265018;25.868320830929026;22.616750700280107;81.6538505419282;58.54801324503311;36.1;15.2
2015;6;Junho;32.11578641903654;25.87068031306441;21.504002320185613;75.72265258215972;50.21570859419465;36.9;11.0
2015;7;Julho;32.677600979192164;26.002210991787734;21.200060938452168;72.09438066465266;46.38505419281232;37.8;12.6
2015;8;Agosto;34.3573856975381;27.125464349910132;21.539566236811257;66.37195550351288;38.87472766884532;40.0;11.0
2015;9;Setembro;35.29765231973171;28.162137049941915;22.77709497206704;64.93544159544163;37.71725571725572;40.6;13.0
2015;10;Outubro;35.11628272251309;28.326559139784937;23.4138219895288;66.99525052192072;40.67897037396794;41.6;18.0
2015;11;Novembro;33.97839276210752;27.680543478260883;23.48809144072302;72.21349758971618;46.165009940357855;39.2;15.1
2015;12;Dezembro;33.16493178372916;27.279378818737264;23.429480060575475;73.91394750386006;48.935404339250496;40.2;18.8
2016;1;Janeiro;31.921743642968355;26.766898024559513;23.727268014515275;79.10394877267885;56.48989113530327;39.5;17.6
2016;2;Fevereiro;32.56047278724576;26.88918459796152;23.406373626373643;78.1247222222223;53.895310796074156;38.8;18.1
2016;3;Março;31.75024523160763;26.535480225988703;23.643991299619355;81.75680570801325;59.19012987012987;38.7;18.1
2016;4;Abril;32.31887955182071;26.71384439359268;23.299216125419942;79.94499141385239;56.362898864250944;37.1;14.1
2016;5;Maio;32.49897172236501;26.500580781415007;22.536671802773494;77.47931219774316;52.917488323819406;41.4;14.0
2016;6;Junho;32.18865174388338;25.887265917603006;21.47257142857142;74.12758435993578;48.358381502890175;41.1;11.7
2016;7;Julho;33.356626506024085;26.30366520787746;20.853064431639606;67.13197458973005;40.196483971044465;38.0;11.0
2016;8;Agosto;34.36503719447399;27.278006500541743;21.72949602122017;64.46042576419224;38.437834941050376;40.2;12.3
2016;9;Setembro;33.8448936170213;27.21864313292885;22.599201703033515;69.09677956690732;42.84769962982549;40.2;11.4
2016;10;Outubro;33.81468599033816;27.42850074220686;23.0934814099469;71.82892521050026;45.58317214700193;40.2;16.7
2016;11;Novembro;33.22602539062501;27.238934010152285;23.28168050806057;74.70314313346242;49.86319668355596;40.2;17.7
2016;12;Dezembro;31.742578302315003;26.18632233381158;22.917105263157882;79.53469387755109;55.71409921671018;38.1;16.4
2017;1;Janeiro;31.026437847866404;25.518728606356962;22.414921223354956;82.63434104865385;59.28913525498891;38.3;17.9
2017;2;Fevereiro;30.468174644923717;25.271230598669632;22.561070304302202;84.17421790722769;61.48022033049574;36.0;17.9
2017;3;Março;31.089272388059726;25.66557617187498;22.71691519105313;83.3371825586967;59.89630297565374;35.8;16.3
2017;4;Abril;31.52960199004978;26.017816091954014;22.878939544103055;82.47150050352471;58.81496978149698;36.1;16.1
2017;5;Maio;32.48561113976274;26.60611687602401;22.727889060092455;77.994356888663;52.99666030534351;36.5;16.3
2017;6;Junho;32.484157363104735;25.964390519187337;21.110207336523136;72.78858520900327;46.848743718592964;36.7;12.6
2017;7;Julho;32.6623061013444;25.518239660657493;19.708415074858035;65.4468387776607;38.91135458167331;37.6;7.5
2017;8;Agosto;34.79515091538842;27.32178517397884;21.403950617283954;63.795482233502554;37.04561059342815;42.9;11.8
2017;9;Setembro;34.66173235563704;27.633060240963843;22.29387288523093;63.35345643939401;38.87158469945355;42.3;13.2
2017;10;Outubro;34.29391921881936;27.673141263940497;23.060886917960083;68.27776249426873;42.72107081174439;42.0;16.6
2017;11;Novembro;32.731545275590534;26.780843310775623;23.165882352941185;76.05620620620626;50.503413746017294;38.3;18.1
2017;12;Dezembro;31.537160385626652;25.98919891989198;22.901226456416985;80.58990783410142;56.70238611713666;38.5;17.8
2018;1;Janeiro;31.211141181777165;25.55904279797516;22.361773975686628;81.38733583489685;56.988010657193605;36.2;15.9
2018;2;Fevereiro;30.24923239809424;25.265118790496743;22.534934036939305;83.66704855428267;61.66093117408907;36.1;16.4
2018;3;Março;31.184277969443073;25.737293233082696;22.755517241379298;83.11482043500264;59.417931034482756;36.4;16.6
2018;4;Abril;30.975763852925983;25.50744680851064;22.37568546301087;82.74921323928383;59.06010664081435;35.9;15.6
2018;5;Maio;31.71937022900767;25.78966346153846;21.92078169685415;78.5337924249878;53.35502958579882;35.6;13.4
2018;6;Junho;32.098760330578514;25.441201264488917;20.37879256965944;72.70995310057326;45.86307251908397;37.1;11.0
2018;7;Julho;32.89227005870845;25.704237288135577;20.098044009779954;68.32684958353751;40.462693357597814;37.3;11.0
2018;8;Agosto;33.59719887955183;26.465175097276283;21.18098788443615;68.03798985707704;40.98100706713781;39.5;11.9
2018;9;Setembro;34.20208827717132;27.258217821782175;22.292453725676317;67.4702402957487;40.92273135669362;39.9;11.2
2018;10;Outubro;33.942823749415595;27.400390815828022;23.16520726595249;73.01363636363642;45.61147612790188;39.6;17.9
2018;11;Novembro;32.45884072089625;26.703386351975375;23.302039825157834;77.86125061546039;53.10032664489034;38.2;17.9
2018;12;Dezembro;30.87457128858402;25.55910951893551;22.571365422396852;81.24056084126197;57.81582666038624;36.8;17.7
2019;1;Janeiro;31.199407992106547;25.683486238532094;22.626759167492576;81.71064154786151;57.83613445378151;36.7;17.2
2019;2;Fevereiro;30.9819560669456;25.739476553980364;22.927861996863587;83.0856682769727;59.69721115537848;37.3;17.1
2019;3;Março;31.318202047174037;25.92543617998165;22.98609625668451;83.37772747849714;59.404897245299516;37.9;17.9
2019;4;Abril;31.485668498168476;26.08269767441862;23.078564899451536;83.27187073281753;59.236154186973856;38.5;16.6
2019;5;Maio;31.844853283651585;26.195381715362874;22.657674418604657;80.63910640257954;55.83790965456156;36.6;14.7
2019;6;Junho;32.371358024691375;26.07831747621433;21.59624876604148;75.08753056234727;48.53551136363637;36.7;12.7
2019;7;Julho;32.76211649622057;25.83509330905779;20.693200000000008;70.36044874615051;43.1015592077539;37.8;12.3
