"dias_chuva_mensal";"precip_total_mensal_mm";"temp_media_mensal_c";"ano";"mes"
29.0;164.2;24.9;2022;1
21.0;;25.4;2022;2
15.0;119.0;25.9;2022;3
7.0;34.4;26.4;2022;4
0.0;0.0;24.4;2022;5
0.0;0.0;23.5;2022;6
0.0;0.0;23.4;2022;7
0.0;0.0;25.7;2022;8
7.0;39.0;27.3;2022;9
7.0;2.6;28.2;2022;10
18.0;;25.4;2022;11
;;24.8;2022;12
;;25.1;2023;1
;;26.2;2023;2
;;25.0;2023;3
;;26.2;2023;4
;;25.5;2023;5
;;24.5;2023;6
;;24.4;2023;7
;;26.3;2023;8
;;29.1;2023;9
;;30.0;2023;10
;;29.1;2023;11
;;27.9;2023;12
;;25.7;2024;1
;;25.9;2024;2
11.0;;27.2;2024;3
18.0;164.2;27.0;2024;4
0.0;0.0;26.1;2024;5
0.0;0.0;23.9;2024;6
0.0;0.0;23.3;2024;7
0.0;0.0;25.5;2024;8
;;28.0;2024;9
6.0;;29.0;2024;10
16.0;;25.9;2024;11
5.0;;;2024;12
13.0;104.8;26.6;2015;1
17.0;206.8;25.6;2015;2
18.0;;25.2;2015;3
;;;2015;4
;;;2015;5
;0.0;25.3;2015;6
0.0;0.0;25.5;2015;7
1.0;2.4;26.3;2015;8
3.0;12.4;28.7;2015;9
2.0;9.8;29.2;2015;10
11.0;60.2;28.1;2015;11
16.0;151.4;28.2;2015;12
26.0;359.6;25.8;2016;1
14.0;97.0;27.8;2016;2
14.0;147.6;27.2;2016;3
4.0;6.2;27.7;2016;4
0.0;0.0;27.3;2016;5
0.0;0.0;26.2;2016;6
0.0;0.0;25.9;2016;7
;0.0;28.1;2016;8
9.0;18.6;29.0;2016;9
15.0;65.8;28.3;2016;10
13.0;153.8;28.2;2016;11
16.0;202.8;26.9;2016;12
18.0;188.4;26.5;2017;1
10.0;;25.5;2017;2
2.0;;;2017;3
2.0;;;2017;4
;;;2017;5
;;;2017;6
;;;2017;7
;;;2017;8
;;;2017;9
;;;2017;10
;;;2017;11
20.0;194.2;26.0;2017;12
;;25.8;2018;1
;;25.5;2018;2
;;26.0;2018;3
4.0;;25.9;2018;4
1.0;0.2;26.2;2018;5
0.0;0.0;25.1;2018;6
0.0;0.0;24.6;2018;7
0.0;0.0;27.3;2018;8
0.0;0.0;28.8;2018;9
;;28.0;2018;10
7.0;;26.3;2018;11
1.0;;;2018;12
;;;2019;1
10.0;;;2019;2
20.0;173.8;26.0;2019;3
16.0;161.6;26.6;2019;4
4.0;8.8;27.1;2019;5
0.0;0.0;25.5;2019;6
0.0;0.0;25.3;2019;7
;0.0;27.1;2019;8
2.0;28.8;29.4;2019;9
13.0;66.6;28.0;2019;10
15.0;195.0;27.0;2019;11
16.0;205.4;27.2;2019;12
20.0;413.2;26.4;2020;1
20.0;243.4;26.2;2020;2
17.0;;25.9;2020;3
16.0;150.4;26.5;2020;4
5.0;59.4;26.2;2020;5
0.0;0.0;25.3;2020;6
0.0;0.0;24.6;2020;7
0.0;0.0;26.6;2020;8
0.0;0.0;28.7;2020;9
12.0;117.6;28.6;2020;10
11.0;;26.5;2020;11
;;;2020;12
;;;2021;1
;;;2021;2
;;;2021;3
;;;2021;4
;;;2021;5
;;;2021;6
;;;2021;7
;;;2021;8
3.0;;29.1;2021;9
10.0;100.4;27.8;2021;10
22.0;219.6;25.9;2021;11
27.0;432.2;25.2;2021;12
21.0;303.0;25.5;2022;1
14.0;;25.7;2022;2
23.0;223.0;25.8;2022;3
10.0;39.2;26.8;2022;4
1.0;12.4;25.3;2022;5
0.0;0.0;24.9;2022;6
0.0;0.0;24.7;2022;7
0.0;0.0;26.8;2022;8
5.0;37.4;27.9;2022;9
3.0;;28.9;2022;10
3.0;;26.0;2022;11
18.0;;25.1;2022;12
17.0;162.0;25.4;2023;1
15.0;72.2;26.4;2023;2
24.0;221.2;25.7;2023;3
9.0;72.2;26.6;2023;4
2.0;7.8;26.6;2023;5
0.0;0.0;25.9;2023;6
;;25.3;2023;7
;;;2023;8
;;;2023;9
4.0;;29.4;2023;10
6.0;;29.1;2023;11
7.0;;28.0;2023;12
18.0;;26.1;2024;1
8.0;;26.7;2024;2
19.0;193.2;27.2;2024;3
19.0;179.6;27.3;2024;4
2.0;3.4;27.0;2024;5
0.0;0.0;25.4;2024;6
;0.0;25.1;2024;7
;;;2024;8
;;29.7;2024;9
9.0;;29.4;2024;10
15.0;;26.8;2024;11
14.0;;27.1;2024;12
20.0;80.8;26.2;2015;1
20.0;129.4;25.5;2015;2
22.0;169.2;25.3;2015;3
20.0;235.6;25.6;2015;4
9.0;50.2;25.4;2015;5
2.0;0.4;24.5;2015;6
0.0;0.0;24.7;2015;7
0.0;0.0;25.5;2015;8
4.0;6.8;28.9;2015;9
4.0;1.8;29.5;2015;10
12.0;200.2;27.9;2015;11
10.0;59.2;28.2;2015;12
13.0;;;2016;1
8.0;29.0;27.7;2016;2
20.0;213.8;26.9;2016;3
6.0;28.6;27.1;2016;4
0.0;0.0;26.7;2016;5
1.0;0.2;25.5;2016;6
0.0;0.0;24.9;2016;7
0.0;0.0;26.9;2016;8
6.0;25.2;28.3;2016;9
8.0;66.0;28.1;2016;10
10.0;213.8;27.7;2016;11
18.0;174.0;26.5;2016;12
18.0;245.4;26.0;2017;1
19.0;341.2;25.0;2017;2
15.0;287.8;26.0;2017;3
15.0;149.8;26.5;2017;4
2.0;;26.3;2017;5
0.0;0.0;24.7;2017;6
0.0;0.0;22.7;2017;7
0.0;0.0;26.2;2017;8
0.0;0.0;27.7;2017;9
2.0;19.8;29.8;2017;10
19.0;173.6;26.5;2017;11
26.0;341.4;25.9;2017;12
20.0;174.8;25.7;2018;1
21.0;449.8;25.2;2018;2
25.0;215.4;25.7;2018;3
11.0;110.6;25.7;2018;4
2.0;3.4;25.7;2018;5
0.0;0.0;24.4;2018;6
0.0;0.0;24.1;2018;7
5.0;11.0;26.9;2018;8
6.0;2.2;28.6;2018;9
10.0;;27.9;2018;10
18.0;386.8;26.2;2018;11
19.0;238.4;25.8;2018;12
14.0;247.4;26.2;2019;1
15.0;102.2;25.9;2019;2
